text,label
Fake news content 91: Aliens spotted in the sky!,1
Fake news content 538: Aliens spotted in the sky!,1
Fake news content 775: Aliens spotted in the sky!,1
Real news content 528: President addresses the nation.,0
Real news content 9: President addresses the nation.,0
Real news content 236: President addresses the nation.,0
Fake news content 670: Aliens spotted in the sky!,1
Real news content 251: President addresses the nation.,0
Real news content 290: President addresses the nation.,0
Fake news content 603: Aliens spotted in the sky!,1
Real news content 813: President addresses the nation.,0
Real news content 423: President addresses the nation.,0
Fake news content 257: Aliens spotted in the sky!,1
Fake news content 908: Aliens spotted in the sky!,1
Fake news content 617: Aliens spotted in the sky!,1
Fake news content 88: Aliens spotted in the sky!,1
Real news content 576: President addresses the nation.,0
Real news content 513: President addresses the nation.,0
Real news content 262: President addresses the nation.,0
Real news content 449: President addresses the nation.,0
Fake news content 105: Aliens spotted in the sky!,1
Real news content 816: President addresses the nation.,0
Real news content 939: President addresses the nation.,0
Fake news content 415: Aliens spotted in the sky!,1
Fake news content 756: Aliens spotted in the sky!,1
Fake news content 417: Aliens spotted in the sky!,1
Real news content 21: President addresses the nation.,0
Fake news content 122: Aliens spotted in the sky!,1
Real news content 768: President addresses the nation.,0
Real news content 702: President addresses the nation.,0
Fake news content 824: Aliens spotted in the sky!,1
Fake news content 383: Aliens spotted in the sky!,1
Real news content 722: President addresses the nation.,0
Real news content 241: President addresses the nation.,0
Real news content 155: President addresses the nation.,0
Real news content 67: President addresses the nation.,0
Fake news content 517: Aliens spotted in the sky!,1
Real news content 951: President addresses the nation.,0
Real news content 662: President addresses the nation.,0
Real news content 696: President addresses the nation.,0
Fake news content 652: Aliens spotted in the sky!,1
Fake news content 812: Aliens spotted in the sky!,1
Fake news content 406: Aliens spotted in the sky!,1
Fake news content 473: Aliens spotted in the sky!,1
Fake news content 362: Aliens spotted in the sky!,1
Fake news content 971: Aliens spotted in the sky!,1
Real news content 877: President addresses the nation.,0
Real news content 364: President addresses the nation.,0
Fake news content 785: Aliens spotted in the sky!,1
Fake news content 614: Aliens spotted in the sky!,1
Fake news content 660: Aliens spotted in the sky!,1
Real news content 5: President addresses the nation.,0
Real news content 665: President addresses the nation.,0
Fake news content 694: Aliens spotted in the sky!,1
Fake news content 392: Aliens spotted in the sky!,1
Real news content 353: President addresses the nation.,0
Fake news content 837: Aliens spotted in the sky!,1
Fake news content 595: Aliens spotted in the sky!,1
Real news content 322: President addresses the nation.,0
Fake news content 470: Aliens spotted in the sky!,1
Fake news content 474: Aliens spotted in the sky!,1
Real news content 897: President addresses the nation.,0
Fake news content 929: Aliens spotted in the sky!,1
Fake news content 407: Aliens spotted in the sky!,1
Fake news content 891: Aliens spotted in the sky!,1
Real news content 185: President addresses the nation.,0
Fake news content 128: Aliens spotted in the sky!,1
Real news content 506: President addresses the nation.,0
Fake news content 788: Aliens spotted in the sky!,1
Fake news content 737: Aliens spotted in the sky!,1
Fake news content 451: Aliens spotted in the sky!,1
Fake news content 437: Aliens spotted in the sky!,1
Real news content 417: President addresses the nation.,0
Fake news content 792: Aliens spotted in the sky!,1
Real news content 397: President addresses the nation.,0
Fake news content 500: Aliens spotted in the sky!,1
Real news content 204: President addresses the nation.,0
Fake news content 416: Aliens spotted in the sky!,1
Real news content 789: President addresses the nation.,0
Real news content 537: President addresses the nation.,0
Fake news content 342: Aliens spotted in the sky!,1
Fake news content 624: Aliens spotted in the sky!,1
Fake news content 939: Aliens spotted in the sky!,1
Real news content 282: President addresses the nation.,0
Real news content 275: President addresses the nation.,0
Fake news content 427: Aliens spotted in the sky!,1
Real news content 527: President addresses the nation.,0
Fake news content 825: Aliens spotted in the sky!,1
Real news content 250: President addresses the nation.,0
Real news content 115: President addresses the nation.,0
Real news content 582: President addresses the nation.,0
Fake news content 533: Aliens spotted in the sky!,1
Real news content 300: President addresses the nation.,0
Real news content 906: President addresses the nation.,0
Real news content 967: President addresses the nation.,0
Fake news content 482: Aliens spotted in the sky!,1
Real news content 564: President addresses the nation.,0
Fake news content 366: Aliens spotted in the sky!,1
Real news content 507: President addresses the nation.,0
Real news content 627: President addresses the nation.,0
Real news content 116: President addresses the nation.,0
Fake news content 926: Aliens spotted in the sky!,1
Fake news content 0: Aliens spotted in the sky!,1
Fake news content 271: Aliens spotted in the sky!,1
Real news content 313: President addresses the nation.,0
Fake news content 954: Aliens spotted in the sky!,1
Fake news content 702: Aliens spotted in the sky!,1
Fake news content 600: Aliens spotted in the sky!,1
Real news content 428: President addresses the nation.,0
Real news content 437: President addresses the nation.,0
Real news content 976: President addresses the nation.,0
Fake news content 555: Aliens spotted in the sky!,1
Fake news content 865: Aliens spotted in the sky!,1
Real news content 141: President addresses the nation.,0
Real news content 454: President addresses the nation.,0
Real news content 735: President addresses the nation.,0
Real news content 508: President addresses the nation.,0
Real news content 339: President addresses the nation.,0
Real news content 117: President addresses the nation.,0
Real news content 567: President addresses the nation.,0
Fake news content 50: Aliens spotted in the sky!,1
Fake news content 531: Aliens spotted in the sky!,1
Real news content 73: President addresses the nation.,0
Real news content 456: President addresses the nation.,0
Real news content 553: President addresses the nation.,0
Real news content 817: President addresses the nation.,0
Real news content 494: President addresses the nation.,0
Fake news content 665: Aliens spotted in the sky!,1
Real news content 742: President addresses the nation.,0
Real news content 392: President addresses the nation.,0
Real news content 70: President addresses the nation.,0
Fake news content 632: Aliens spotted in the sky!,1
Real news content 291: President addresses the nation.,0
Real news content 182: President addresses the nation.,0
Real news content 980: President addresses the nation.,0
Real news content 960: President addresses the nation.,0
Fake news content 751: Aliens spotted in the sky!,1
Fake news content 634: Aliens spotted in the sky!,1
Fake news content 372: Aliens spotted in the sky!,1
Real news content 661: President addresses the nation.,0
Fake news content 441: Aliens spotted in the sky!,1
Fake news content 280: Aliens spotted in the sky!,1
Real news content 826: President addresses the nation.,0
Fake news content 902: Aliens spotted in the sky!,1
Real news content 585: President addresses the nation.,0
Fake news content 946: Aliens spotted in the sky!,1
Real news content 843: President addresses the nation.,0
Fake news content 52: Aliens spotted in the sky!,1
Fake news content 246: Aliens spotted in the sky!,1
Fake news content 804: Aliens spotted in the sky!,1
Fake news content 258: Aliens spotted in the sky!,1
Real news content 849: President addresses the nation.,0
Fake news content 745: Aliens spotted in the sky!,1
Fake news content 945: Aliens spotted in the sky!,1
Fake news content 528: Aliens spotted in the sky!,1
Fake news content 875: Aliens spotted in the sky!,1
Real news content 699: President addresses the nation.,0
Fake news content 599: Aliens spotted in the sky!,1
Fake news content 859: Aliens spotted in the sky!,1
Fake news content 978: Aliens spotted in the sky!,1
Real news content 381: President addresses the nation.,0
Real news content 706: President addresses the nation.,0
Real news content 536: President addresses the nation.,0
Real news content 421: President addresses the nation.,0
Real news content 312: President addresses the nation.,0
Fake news content 581: Aliens spotted in the sky!,1
Fake news content 505: Aliens spotted in the sky!,1
Real news content 362: President addresses the nation.,0
Fake news content 195: Aliens spotted in the sky!,1
Real news content 324: President addresses the nation.,0
Fake news content 283: Aliens spotted in the sky!,1
Fake news content 183: Aliens spotted in the sky!,1
Fake news content 136: Aliens spotted in the sky!,1
Fake news content 255: Aliens spotted in the sky!,1
Fake news content 990: Aliens spotted in the sky!,1
Real news content 766: President addresses the nation.,0
Real news content 426: President addresses the nation.,0
Fake news content 54: Aliens spotted in the sky!,1
Real news content 393: President addresses the nation.,0
Real news content 174: President addresses the nation.,0
Real news content 111: President addresses the nation.,0
Fake news content 609: Aliens spotted in the sky!,1
Real news content 747: President addresses the nation.,0
Fake news content 331: Aliens spotted in the sky!,1
Fake news content 931: Aliens spotted in the sky!,1
Real news content 943: President addresses the nation.,0
Real news content 796: President addresses the nation.,0
Real news content 884: President addresses the nation.,0
Real news content 623: President addresses the nation.,0
Real news content 579: President addresses the nation.,0
Real news content 376: President addresses the nation.,0
Fake news content 465: Aliens spotted in the sky!,1
Fake news content 365: Aliens spotted in the sky!,1
Fake news content 686: Aliens spotted in the sky!,1
Real news content 731: President addresses the nation.,0
Real news content 568: President addresses the nation.,0
Fake news content 353: Aliens spotted in the sky!,1
Fake news content 713: Aliens spotted in the sky!,1
Fake news content 606: Aliens spotted in the sky!,1
Real news content 529: President addresses the nation.,0
Fake news content 224: Aliens spotted in the sky!,1
Real news content 304: President addresses the nation.,0
Fake news content 666: Aliens spotted in the sky!,1
Real news content 838: President addresses the nation.,0
Fake news content 249: Aliens spotted in the sky!,1
Real news content 232: President addresses the nation.,0
Real news content 820: President addresses the nation.,0
Real news content 929: President addresses the nation.,0
Real news content 199: President addresses the nation.,0
Fake news content 443: Aliens spotted in the sky!,1
Fake news content 800: Aliens spotted in the sky!,1
Real news content 771: President addresses the nation.,0
Fake news content 177: Aliens spotted in the sky!,1
Fake news content 657: Aliens spotted in the sky!,1
Real news content 926: President addresses the nation.,0
Fake news content 340: Aliens spotted in the sky!,1
Fake news content 18: Aliens spotted in the sky!,1
Fake news content 642: Aliens spotted in the sky!,1
Fake news content 816: Aliens spotted in the sky!,1
Fake news content 930: Aliens spotted in the sky!,1
Fake news content 777: Aliens spotted in the sky!,1
Real news content 821: President addresses the nation.,0
Fake news content 994: Aliens spotted in the sky!,1
Real news content 814: President addresses the nation.,0
Fake news content 299: Aliens spotted in the sky!,1
Fake news content 173: Aliens spotted in the sky!,1
Fake news content 693: Aliens spotted in the sky!,1
Fake news content 192: Aliens spotted in the sky!,1
Real news content 598: President addresses the nation.,0
Fake news content 174: Aliens spotted in the sky!,1
Real news content 440: President addresses the nation.,0
Fake news content 164: Aliens spotted in the sky!,1
Fake news content 4: Aliens spotted in the sky!,1
Real news content 787: President addresses the nation.,0
Real news content 125: President addresses the nation.,0
Fake news content 674: Aliens spotted in the sky!,1
Real news content 819: President addresses the nation.,0
Fake news content 112: Aliens spotted in the sky!,1
Fake news content 585: Aliens spotted in the sky!,1
Fake news content 943: Aliens spotted in the sky!,1
Real news content 326: President addresses the nation.,0
Real news content 97: President addresses the nation.,0
Real news content 466: President addresses the nation.,0
Real news content 614: President addresses the nation.,0
Fake news content 532: Aliens spotted in the sky!,1
Real news content 785: President addresses the nation.,0
Real news content 644: President addresses the nation.,0
Real news content 372: President addresses the nation.,0
Fake news content 189: Aliens spotted in the sky!,1
Real news content 219: President addresses the nation.,0
Real news content 924: President addresses the nation.,0
Real news content 930: President addresses the nation.,0
Real news content 968: President addresses the nation.,0
Fake news content 278: Aliens spotted in the sky!,1
Real news content 604: President addresses the nation.,0
Fake news content 573: Aliens spotted in the sky!,1
Fake news content 292: Aliens spotted in the sky!,1
Real news content 94: President addresses the nation.,0
Real news content 505: President addresses the nation.,0
Real news content 767: President addresses the nation.,0
Fake news content 222: Aliens spotted in the sky!,1
Fake news content 911: Aliens spotted in the sky!,1
Real news content 214: President addresses the nation.,0
Real news content 822: President addresses the nation.,0
Real news content 708: President addresses the nation.,0
Real news content 570: President addresses the nation.,0
Real news content 64: President addresses the nation.,0
Fake news content 94: Aliens spotted in the sky!,1
Fake news content 896: Aliens spotted in the sky!,1
Fake news content 79: Aliens spotted in the sky!,1
Fake news content 626: Aliens spotted in the sky!,1
Fake news content 698: Aliens spotted in the sky!,1
Real news content 295: President addresses the nation.,0
Fake news content 909: Aliens spotted in the sky!,1
Fake news content 651: Aliens spotted in the sky!,1
Real news content 292: President addresses the nation.,0
Fake news content 328: Aliens spotted in the sky!,1
Real news content 526: President addresses the nation.,0
Real news content 995: President addresses the nation.,0
Real news content 934: President addresses the nation.,0
Fake news content 586: Aliens spotted in the sky!,1
Fake news content 264: Aliens spotted in the sky!,1
Fake news content 302: Aliens spotted in the sky!,1
Real news content 916: President addresses the nation.,0
Fake news content 770: Aliens spotted in the sky!,1
Real news content 151: President addresses the nation.,0
Real news content 427: President addresses the nation.,0
Real news content 799: President addresses the nation.,0
Fake news content 169: Aliens spotted in the sky!,1
Fake news content 198: Aliens spotted in the sky!,1
Real news content 521: President addresses the nation.,0
Real news content 76: President addresses the nation.,0
Fake news content 602: Aliens spotted in the sky!,1
Fake news content 456: Aliens spotted in the sky!,1
Fake news content 646: Aliens spotted in the sky!,1
Real news content 540: President addresses the nation.,0
Real news content 430: President addresses the nation.,0
Fake news content 638: Aliens spotted in the sky!,1
Real news content 131: President addresses the nation.,0
Real news content 909: President addresses the nation.,0
Real news content 492: President addresses the nation.,0
Fake news content 423: Aliens spotted in the sky!,1
Fake news content 577: Aliens spotted in the sky!,1
Real news content 690: President addresses the nation.,0
Fake news content 568: Aliens spotted in the sky!,1
Real news content 399: President addresses the nation.,0
Real news content 715: President addresses the nation.,0
Fake news content 536: Aliens spotted in the sky!,1
Real news content 253: President addresses the nation.,0
Real news content 485: President addresses the nation.,0
Fake news content 803: Aliens spotted in the sky!,1
Real news content 544: President addresses the nation.,0
Real news content 931: President addresses the nation.,0
Real news content 649: President addresses the nation.,0
Fake news content 444: Aliens spotted in the sky!,1
Fake news content 502: Aliens spotted in the sky!,1
Real news content 412: President addresses the nation.,0
Fake news content 213: Aliens spotted in the sky!,1
Real news content 65: President addresses the nation.,0
Fake news content 181: Aliens spotted in the sky!,1
Fake news content 772: Aliens spotted in the sky!,1
Fake news content 941: Aliens spotted in the sky!,1
Fake news content 373: Aliens spotted in the sky!,1
Real news content 181: President addresses the nation.,0
Real news content 788: President addresses the nation.,0
Real news content 58: President addresses the nation.,0
Fake news content 953: Aliens spotted in the sky!,1
Fake news content 421: Aliens spotted in the sky!,1
Real news content 684: President addresses the nation.,0
Fake news content 604: Aliens spotted in the sky!,1
Fake news content 716: Aliens spotted in the sky!,1
Fake news content 877: Aliens spotted in the sky!,1
Fake news content 385: Aliens spotted in the sky!,1
Real news content 101: President addresses the nation.,0
Fake news content 550: Aliens spotted in the sky!,1
Fake news content 717: Aliens spotted in the sky!,1
Fake news content 368: Aliens spotted in the sky!,1
Real news content 63: President addresses the nation.,0
Fake news content 199: Aliens spotted in the sky!,1
Fake news content 968: Aliens spotted in the sky!,1
Fake news content 479: Aliens spotted in the sky!,1
Fake news content 160: Aliens spotted in the sky!,1
Real news content 783: President addresses the nation.,0
Real news content 413: President addresses the nation.,0
Fake news content 720: Aliens spotted in the sky!,1
Real news content 18: President addresses the nation.,0
Fake news content 296: Aliens spotted in the sky!,1
Fake news content 541: Aliens spotted in the sky!,1
Real news content 966: President addresses the nation.,0
Fake news content 378: Aliens spotted in the sky!,1
Real news content 698: President addresses the nation.,0
Real news content 220: President addresses the nation.,0
Real news content 546: President addresses the nation.,0
Real news content 586: President addresses the nation.,0
Real news content 93: President addresses the nation.,0
Real news content 713: President addresses the nation.,0
Real news content 538: President addresses the nation.,0
Real news content 146: President addresses the nation.,0
Real news content 402: President addresses the nation.,0
Real news content 599: President addresses the nation.,0
Fake news content 752: Aliens spotted in the sky!,1
Real news content 61: President addresses the nation.,0
Real news content 812: President addresses the nation.,0
Real news content 354: President addresses the nation.,0
Fake news content 403: Aliens spotted in the sky!,1
Fake news content 559: Aliens spotted in the sky!,1
Real news content 400: President addresses the nation.,0
Fake news content 193: Aliens spotted in the sky!,1
Fake news content 281: Aliens spotted in the sky!,1
Real news content 636: President addresses the nation.,0
Fake news content 529: Aliens spotted in the sky!,1
Real news content 191: President addresses the nation.,0
Real news content 996: President addresses the nation.,0
Real news content 652: President addresses the nation.,0
Fake news content 464: Aliens spotted in the sky!,1
Real news content 835: President addresses the nation.,0
Fake news content 798: Aliens spotted in the sky!,1
Fake news content 822: Aliens spotted in the sky!,1
Real news content 868: President addresses the nation.,0
Real news content 77: President addresses the nation.,0
Fake news content 997: Aliens spotted in the sky!,1
Fake news content 90: Aliens spotted in the sky!,1
Real news content 881: President addresses the nation.,0
Fake news content 763: Aliens spotted in the sky!,1
Fake news content 993: Aliens spotted in the sky!,1
Fake news content 598: Aliens spotted in the sky!,1
Fake news content 781: Aliens spotted in the sky!,1
Fake news content 307: Aliens spotted in the sky!,1
Real news content 107: President addresses the nation.,0
Real news content 368: President addresses the nation.,0
Fake news content 572: Aliens spotted in the sky!,1
Fake news content 667: Aliens spotted in the sky!,1
Real news content 674: President addresses the nation.,0
Fake news content 864: Aliens spotted in the sky!,1
Real news content 459: President addresses the nation.,0
Fake news content 410: Aliens spotted in the sky!,1
Real news content 496: President addresses the nation.,0
Real news content 52: President addresses the nation.,0
Fake news content 495: Aliens spotted in the sky!,1
Real news content 235: President addresses the nation.,0
Real news content 84: President addresses the nation.,0
Real news content 645: President addresses the nation.,0
Real news content 938: President addresses the nation.,0
Real news content 472: President addresses the nation.,0
Real news content 2: President addresses the nation.,0
Real news content 893: President addresses the nation.,0
Real news content 692: President addresses the nation.,0
Real news content 856: President addresses the nation.,0
Fake news content 923: Aliens spotted in the sky!,1
Fake news content 708: Aliens spotted in the sky!,1
Fake news content 620: Aliens spotted in the sky!,1
Real news content 249: President addresses the nation.,0
Fake news content 841: Aliens spotted in the sky!,1
Real news content 523: President addresses the nation.,0
Real news content 163: President addresses the nation.,0
Real news content 407: President addresses the nation.,0
Fake news content 113: Aliens spotted in the sky!,1
Real news content 273: President addresses the nation.,0
Fake news content 914: Aliens spotted in the sky!,1
Real news content 234: President addresses the nation.,0
Fake news content 668: Aliens spotted in the sky!,1
Real news content 658: President addresses the nation.,0
Fake news content 732: Aliens spotted in the sky!,1
Fake news content 493: Aliens spotted in the sky!,1
Fake news content 525: Aliens spotted in the sky!,1
Fake news content 447: Aliens spotted in the sky!,1
Fake news content 207: Aliens spotted in the sky!,1
Real news content 46: President addresses the nation.,0
Real news content 40: President addresses the nation.,0
Real news content 804: President addresses the nation.,0
Fake news content 221: Aliens spotted in the sky!,1
Fake news content 344: Aliens spotted in the sky!,1
Fake news content 413: Aliens spotted in the sky!,1
Real news content 441: President addresses the nation.,0
Fake news content 350: Aliens spotted in the sky!,1
Fake news content 399: Aliens spotted in the sky!,1
Real news content 754: President addresses the nation.,0
Fake news content 507: Aliens spotted in the sky!,1
Real news content 581: President addresses the nation.,0
Fake news content 508: Aliens spotted in the sky!,1
Real news content 41: President addresses the nation.,0
Real news content 830: President addresses the nation.,0
Real news content 59: President addresses the nation.,0
Fake news content 815: Aliens spotted in the sky!,1
Real news content 760: President addresses the nation.,0
Real news content 836: President addresses the nation.,0
Real news content 676: President addresses the nation.,0
Real news content 104: President addresses the nation.,0
Real news content 169: President addresses the nation.,0
Real news content 989: President addresses the nation.,0
Fake news content 933: Aliens spotted in the sky!,1
Fake news content 15: Aliens spotted in the sky!,1
Real news content 157: President addresses the nation.,0
Real news content 495: President addresses the nation.,0
Real news content 465: President addresses the nation.,0
Real news content 635: President addresses the nation.,0
Fake news content 873: Aliens spotted in the sky!,1
Real news content 298: President addresses the nation.,0
Fake news content 560: Aliens spotted in the sky!,1
Fake news content 446: Aliens spotted in the sky!,1
Real news content 555: President addresses the nation.,0
Real news content 75: President addresses the nation.,0
Real news content 17: President addresses the nation.,0
Real news content 478: President addresses the nation.,0
Fake news content 216: Aliens spotted in the sky!,1
Real news content 900: President addresses the nation.,0
Real news content 651: President addresses the nation.,0
Fake news content 913: Aliens spotted in the sky!,1
Fake news content 540: Aliens spotted in the sky!,1
Fake news content 86: Aliens spotted in the sky!,1
Fake news content 831: Aliens spotted in the sky!,1
Real news content 403: President addresses the nation.,0
Fake news content 810: Aliens spotted in the sky!,1
Real news content 748: President addresses the nation.,0
Real news content 772: President addresses the nation.,0
Real news content 532: President addresses the nation.,0
Real news content 605: President addresses the nation.,0
Real news content 458: President addresses the nation.,0
Fake news content 351: Aliens spotted in the sky!,1
Real news content 316: President addresses the nation.,0
Fake news content 992: Aliens spotted in the sky!,1
Fake news content 936: Aliens spotted in the sky!,1
Real news content 656: President addresses the nation.,0
Real news content 436: President addresses the nation.,0
Real news content 691: President addresses the nation.,0
Fake news content 133: Aliens spotted in the sky!,1
Real news content 733: President addresses the nation.,0
Fake news content 396: Aliens spotted in the sky!,1
Fake news content 578: Aliens spotted in the sky!,1
Real news content 596: President addresses the nation.,0
Real news content 418: President addresses the nation.,0
Fake news content 596: Aliens spotted in the sky!,1
Real news content 34: President addresses the nation.,0
Fake news content 513: Aliens spotted in the sky!,1
Real news content 944: President addresses the nation.,0
Real news content 480: President addresses the nation.,0
Real news content 850: President addresses the nation.,0
Fake news content 109: Aliens spotted in the sky!,1
Real news content 113: President addresses the nation.,0
Real news content 126: President addresses the nation.,0
Fake news content 885: Aliens spotted in the sky!,1
Fake news content 917: Aliens spotted in the sky!,1
Fake news content 402: Aliens spotted in the sky!,1
Real news content 908: President addresses the nation.,0
Fake news content 627: Aliens spotted in the sky!,1
Fake news content 369: Aliens spotted in the sky!,1
Fake news content 431: Aliens spotted in the sky!,1
Real news content 689: President addresses the nation.,0
Fake news content 701: Aliens spotted in the sky!,1
Real news content 106: President addresses the nation.,0
